iNote	iWine	Type	Vintage	Wine	Locale	Producer	Varietal	MasterVarietal	Country	Region	TastingDate	Defective	Rating	TastingNotes	CScore
5001054	2087592	White	2013	Domaine Allimant-Laugner Riesling	France, Alsace	Domaine Allimant-Laugner	Riesling	Riesling	France	Alsace	5/12/2015	False	0	Previously accessed 5/7, 5/11.\n@home\nNose: high-toned green apple - candy. \nPairing with slightly spicy jerk chicken, mild mango salsa, rice: * (good but nothing special) Acidity increased the spiciness a bit.	83
5001053	603912	White	2007	Hugel et Fils Riesling Jubilee	France, Alsace	Hugel et Fils	Riesling	Riesling	France	Alsace	5/12/2015	False	0	bottle 64761-278 (accessed 5/3, 5/4, 5/5, 5/11)\n@home \nNose: initial whiff of clear TDN - pool-toy/beach-ball/petrol. hint of botrytis. \nPairing with slightly spicy jerk chicken, mild mango salsa, rice: * Acidity was refreshing but increased the spiciness.	89.3529411764706
5001052	1353036	White	2009	Albert Boxler Pinot Gris Reserve	France, Alsace	Albert Boxler	Pinot Gris	Pinot Gris	France	Alsace	5/12/2015	False	0	bottle 64761-272 (accessed 5/3, 5/4, 5/5, 5/11)\n@home\nNose: tone of warm amber - like ripe banana/ripe peach/ripe apricot. baked peach. Also ripe peach bitterness - hint of thiols. \nPairing with slightly spicy jerk chicken, mild mango salsa, rice: * Very nice flavor richness balance, but the alcohol plus spiciness of the chicken caused a burning.	90
5001051	1757706	White	2012	Domaine Weinbach Gewurztraminer Cuvée Théo	France, Alsace	Domaine Weinbach	Gewürztraminer	Gewürztraminer	France	Alsace	5/12/2015	False	0	bottle 64810-404 (accessed 5/5, 5/7, 5/11)\n@home\nNose: some floral terpenes, but mostly bitter thiols. \nPairing with slightly spicy jerk chicken, mild mango salsa, rice: * Alcohol caused spiciness to burn after a bit.	89.8571428571429
5001043	2096235	Red	2012	Quady North Grenache Bomba	USA, Oregon, Southern Oregon, Rogue Valley	Quady North	Grenache	Grenache	USA	Oregon	5/12/2015	False	80	Summary: Nice intensity and surprisingly fresh acid! \nScore: Around 8. \n----------------\nFull Sensory:\nMedium minus concentration (maybe a bit dark for Grenache), bright ruby. Clear, day-bright, medium tears. \n\nNose: Off-aromas suggesting bitterness, reduction? Beneath those, indistinct baked fruit, red fruit. Youthful and uncomplicated.\n\nPalate: Full body, elevated alcohol(14%?) [bingo - 14%!].\nBright, ripe cherry. No evidence of oak [10 months in neutral French barrels]. Slightly elevated to moderate acidity (a nice jolt of brightness!). Light plus tannins.\nThe wine is balanced in a fresh, rich way. Uncomplicated. Finish is a bit short, with some bitterness to the tannins at the end. \n\n$25	80
5001042	1773052	Red	2012	McKinlay Pinot Noir Special Selection	USA, Oregon, Willamette Valley	McKinlay	Pinot Noir	Pinot Noir	USA	Oregon	5/12/2015	False	82	Summary: This is nice! New World Pinot with a bit of oak, but good balance with ripe fruit. Not really wowing me, but it's certainly solid.\nScore: Between 8 and 8.5\n\n------------------\nFull Sensory\n\nClear, bright, dark ruby, light concentration, no gas/sediment, moderate tears.\n\nNose: Moderate plus intensity, clean. Reductive baked raspberry, strong associations of black pepper (I need to figure this out - I know there's no rotundone here). baked cherry. I like the fruit tones on this. No signs of oak on the nose.\nYouthful.\nNot complex.\n\nPalate: Medium plus body, medum plus alcohol [13%], baked cherries, reductive black raspberry jam, hint of oak - fine grained aroma, slight baking spice/woody aromas - maybe a small percentage, or used barrels? ~10% French? [25% new oak - unspecified origin]. \nAcidity is elevated. \nModerate minus tannins, fine-grained. \nNot complex. \nIn balance - fresh and acid-driven.\n\n$37	85.5
5001041	1735775	Red	2012	Cooper Mountain Vineyards Pinot Noir	USA, Oregon, Willamette Valley	Cooper Mountain Vineyards	Pinot Noir	Pinot Noir	USA	Oregon	5/12/2015	False	80	Summary: It's fine. I don't find it that exciting or delicious. \nScore: Around 8\n----------------------\nFull Sensory:\nClear, day-bright. medium-bright ruby, light + concentration. No gas/sediment, moderate tears. \n\nNose: Moderate intensity, clean. Reductive, plummy, red fruit. Raspberry (baked), hint of barnyard and burnt toast (brief memory of baking bread, slightly toasty aromas). \nYouthful.\nNot complex.\n\nPalate: Medium minus body, medium alcohol 13.5%? [got it - 13%]. Overall, tart. In balance (acid-driven). Some grippy tannins (light plus). \nStraightforward.\nModerate minus finish. \n\n$26	80
5001040	1939265	Red	2013	Division Winemaking Company Pinot Noir Un	USA, Oregon, Willamette Valley	Division Winemaking Company	Pinot Noir	Pinot Noir	USA	Oregon	5/12/2015	False	60	Clear, bright, medium-ruby, light + concentration. No gas/sediment, moderate tears.\n\nNose smells off - coin polish and a bacterial/lambic/sour beer smell.\n\nPalate: Balanced, but I can't see past the lambic notes. Many people in the room liked this, though one older gentleman said he too was put-off by the first whiff. \nScore: Around 6. Seems like faulty winemaking to me. \n$30	75
5001039	1828399	White	2013	Big Table Farm Edelzwicker Wirtz Vineyard	USA, Oregon, Willamette Valley	Big Table Farm	White Blend	White Blend	USA	Oregon	5/12/2015	False	80	Summary\nNice aromatics. Very light palate balanced with phenolic bitterness. Simple.\nScore: around 8.\n-------------------\nFull Sensory:\nLight gold with reflections of green in the glass. \n\nNose: Elevated intensity, clean. Very bright, high-toned terpenes. Fresh roses just sprayed with water. Secondaries of fresh grapefruit pith (bitter thiols).\n\nIn the mouth, Moderate plus alcohol (13%) [only 11.3% - totally off! Next time pay attention to the weight, not just the overall balance which is affected by low acidity.]. Light all around. Moderate phenolic bitterness. Acidity is moderate minus. Overall balance is light and bitterness-driven, not acid-driven. Finish is mostly phenolic bitterness. \n\n$30	88.5
5001038	1940617	White	2013	Eyrie Vineyards Pinot Gris	USA, Oregon, Willamette Valley, Dundee Hills	Eyrie Vineyards	Pinot Gris	Pinot Gris	USA	Oregon	5/12/2015	False	85	Summary: A solid and varietally correct Pinot Gris! Nothing complex going on here.\nScore: Around 8.5 \n--------------\nFull Sensory:\nClear, day-bright. Medium Gold, L+ Concentration in the glass (a bit lighter than I'd expect from an Alsace PG, perhaps?). M+ tears [I think I was biased, expecting a higher alcohol wine].\n\nNose: Medium intensity, peach, nectarine, very ripe notes - sort of like overripe banana, but maybe more in the direction of peach. Ripe and a bit savory. Hint of lemon spritz on the back end.\nYouthful, pretty straightforward - not complex.\n\nPalate: Dry, medium plus body, moderate plus alcohol - 13.5? [actually only 12.5% - I think I have a bias expecting higher alcohol because it's New World - actually it's pretty cool up there.] Weighty, textured, with balanced moderate acidity - just enough to give it some brightness, low+ phenolic bitterness. No evidence of oak. \n\nBalanced in a slightly rich way. Low complexity. Finish is moderate plus in length.\n\n$20	87
5001036	1793168	White - Sparkling	2009	Teutonic Wine Company Riesling Brut - Methode Traditionelle Crow Valley Vineyard	USA, Oregon, Willamette Valley	Teutonic Wine Company	Riesling	Riesling	USA	Oregon	5/12/2015	False	80	Clear, day bright. Light plus concentration, pale gold with reflections of green in the glass. Bubbles, no sediment. \nAromas are somewhat funky, with a hint of lambic character and some TDN/Petrol (I'm a bit hesitant with the TDN - it didn't remind me of clear plastic pool toy like the Hugel, and it was closer in direction to the waxy/beeswax and ultimately saffron-botrytis end of the spectrum. But ultimately it was far from saffron - inorganic and gasoline-like). Definitely some funky stuff going on here. Not Brett, but maybe bacterial flaw or other weird yeast?\nIn the mouth, dry, light bodied, with small-ish bubbles, nice texture, and ripping malic acid on the finish. The overall impression is too lean, too austere, too tart, too malic. No phenolic bitterness.\n\nI don't know what to make of this. It could have used more fruit and more tartaric rather than malic acidity. But a lot of things about this are nice. It's cool to smell Riesling and taste bubbles. \n\nScore: around 8. \n\nMethode Champenoise, dosage includes inoculation with yeast from the vineyard. \n$50	85.5
4999768	1757706	White	2012	Domaine Weinbach Gewurztraminer Cuvée Théo	France, Alsace	Domaine Weinbach	Gewürztraminer	Gewürztraminer	France	Alsace	5/11/2015	False	0	Bottle 64810-404 (accessed 5/5, 5/7)\nNose: Tight. Bitter candied rose petal with grapefruit pith (ripe).\nPalate: Fat, diminished acidity, strong phenolic bitterness.	89.8571428571429
4999766	2087592	White	2013	Domaine Allimant-Laugner Riesling	France, Alsace	Domaine Allimant-Laugner	Riesling	Riesling	France	Alsace	5/11/2015	False	0	(previously accessed on 5/7)\n\nN: Green apple skins, hint of terpenes. Apple jolly rancher. \nP: Ripping acidity. Light. Faint RS. no bitterness.	83
4999764	603912	White	2007	Hugel et Fils Riesling Jubilee	France, Alsace	Hugel et Fils	Riesling	Riesling	France	Alsace	5/11/2015	False	0	bottle 64761-278 (accessed 5/3, 5/4, 5/5)\n\nN: ripe meyer lemon, beeswax, hint of saffron (botrytis), very light petrol/TDN/Beach Ball that I quickly inure to. \nModerate alcohol. High Acid - finishes with tartaric and malic. \nThe overall character is much sunnier, lemony-er than the Chenin, which is funky and savory and almost bitter in aroma. The acidity is higher in malic on the Riesling and probably went through malolactic on the Savennieres.	89.3529411764706
4999751	1353036	White	2009	Albert Boxler Pinot Gris Reserve	France, Alsace	Albert Boxler	Pinot Gris	Pinot Gris	France	Alsace	5/11/2015	False	0	bottle 64761-272 (previously accessed 5/3, 5/4, 5/5)\n\nClear, day bright. \nModerately concentrated deep gold. \nNo gas or sediment, moderate tears. \n\nN: M+ intensity, clean. \nRipe peach, hint of fresh apricot, hint of ripe pear, hint of citrus peel. Secondary tones of sweet terpenic candied rose petals. \nNo evidence of oak. \nDeveloping. Complex.\n\nP: A touch sweet - some RS - maybe 15 grams. Moderate plus in body. \nHoneyed character. Acidity is just moderate but in balance. Alcohol is moderate plus [13.5%] Light phenolic bitterness. \nNo evidence of oak. \nComplex.\nBalanced in a ripe style.\nFinish is long.	90
4999748	1838391	White	2012	Nicolas Joly Savennières Roche aux Moines Clos de la Bergerie	France, Loire Valley, Anjou-Saumur, Savennières Roche aux Moines	Nicolas Joly	Chenin Blanc	Chenin Blanc	France	Loire Valley	5/11/2015	False	90	bottle 64964942 - first accessing\n@home\n\nSummary: Intense and savory with honeyed secondaries and electric acidity. Glorious. Makes me think of underbrush, furniture in cabins, and due to the overwhelming suggestion of all the "wooly" notes I've read.. wool socks by the fire. \n\nScore: Around 9\n-----------\nFull Sensory:\n\nClear, day bright.\nModerately concentrated deep gold.\nNo gas or sediment. Significant tears. \n\n[Faint touch of RS: ~3-4 g/L]\n\nN: Moderate plus intensity. Clean. \nDominated by a savory burnt wood, coin polish aroma (lanolin?). Faint ripe pear/pommaceous fruit. Faint honey, just a suggestion of botrytis (not much). Not very fruit driven at all, maybe a bit of toasted apricot, dried. There's a suggestion of high-toast wood, but not much. Maybe just a small percentage? \nThe nose is developing, and has a savory complexity. \n\nP: Dry, maybe 2-3g RS at most.\nOverall impression is medium-plus body. \nAlcohol is slightly elevated [14%].\nOn the palate, savory and driven by secondary flavors. Nothing new here, but emphasizes the savory earthy wood tones (not oak). \nNo real evidence of new oak, maybe some used barrels. [6-8 months in used barrels]\nAcidity is elevated - searing clean tartaric acid that fades into a little malic punch at the end. \nNo phenolic bitterness or tannins. \nThe wine is balanced in a richly structured way - vibrant with acidity. \nThere's a savory complexity here. \nThe finish is moderate in length.	90
4998130	1913564	Red	2009	Azienda Agricola Vignalta Colli Euganei Rosso Riserva	Italy, Veneto, Colli Euganei	Azienda Agricola Vignalta	Red Bordeaux Blend	Red Bordeaux Blend	Italy	Veneto	5/10/2015	False	82	60% Merlot, 40% Cab. \nWine of the night easily. Dark plummy ripe fruit, slight Bretty animal tones. In the mouth, ripe fruit with soft tannins and elevated acidity. Straightforward and delicious. \nScore: Between 8 and 8.5	82
4998128	2094938	Red	2012	Casale Cento Corvi Zilath Lazio IGT	Italy, Latium, Lazio IGT	Casale Cento Corvi	Giacchè	Giacchè	Italy	Latium	5/10/2015	False	75	Montepulciano, Sangiovese, Carignano.\nSo undistinguished. Slightly oxidized. Indistinct flavors. Extremely soft and indistinct in the mouth with no real structure but no real flavor/sweetness either. It's balanced in that way, I guess.\nAround 7.5	75
4998126	2094937	Red	2012	Ferdinando Principiano Dolcetto Dolcetto d'Alba Dosset	Italy, Piedmont, Alba, Dolcetto d'Alba	Ferdinando Principiano	Dolcetto	Dolcetto	Italy	Piedmont	5/10/2015	False	70	Opaque, dark ruby in the glass. Nose of dark fruit, a bit earthy / bitter. Very tannic. So tannic. Too tannic. \nAround 7	70
4998125	2094936	White	2011	Vinja Barde Carso Pinot Bianco Visavi	Italy, Friuli-Venezia Giulia, Carso	Vinja Barde	Pinot Bianco	Pinot Blanc	Italy	Friuli-Venezia Giulia	5/10/2015	False	70	Almost no aroma - a slight hint of melon. In the mouth, light with low acidity, slight frizzante, and distinct phenolic bitterness on the end. Nothing much going on here. \nAround 7	70
4998124	1871036	White	2011	Marjan Sim&#269;i&#269; Rebula Klasi&#269;na	Slovenia, Primorska, Goriska Brda	Marjan Sim&#269;i&#269;	Rebula	Ribolla Gialla	Slovenia	Primorska	5/10/2015	False	70	Bright gold, quite concentrated color for a white (skin contact?). Almost nothing on the nose. A slight hint of something reminiscent of cheese rind (lees?). In the mouth, very light with low acidity. Undistinguished. \nAround 7	70
4998123	1982050	White	2013	Viticoltori De Conciliis Fiano Donnaluna Paestum IGT	Italy, Campania, Paestum IGT	Viticoltori De Conciliis	Fiano	Fiano	Italy	Campania	5/10/2015	False	70	Almost nothing on the nose - light apple cider, maybe oxidation. In the mouth, light with no flavor or acidity. Undistinguished. \nAround 7	70
4995967	1618747	Red	2011	Jean-Luc Colombo Cornas Les Terres Brulees	France, Rhône, Northern Rhône, Cornas	Jean-Luc Colombo	Syrah	Syrah	France	Rhône	5/9/2015	False	89	@ Harris' steakhouse on "Man-Day". \nOpaque. Dark ruby in the glass, nose of ripe blackberry and black raspberry with a bit of animal and savory character (brett) and a really faint vanilla tone (reads as slightly baked, sweet, luscious to me). In the mouth, ripe fruit with a bit of wood character (nutmeg, cinnamon). peeking through. Good acidity, even slightly elevated. \n\nVery nice, and a great price too $45 retail, $65 restaurant?!\n\nAlcohol: I'd estimate 13.5-14% [Bingo - 13.5%] \nOak: I'm guessing mostly neutral, a bit of French oak. [close - 21 months in 15% new oak, 85% 1-4 years]	89
